Country,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population
Sri Lanka,84,1.40,8.00,-1.70,4.10,-10.20,103.90,1.80,22.04
Croatia,83,0.80,3.15,2.80,5.00,-0.70,63.50,1.10,3.85
Panama,83,,2.14,-0.30,7.70,-3.74,52.39,-3.60,4.46
Ivory Coast,79,,5.50,2.50,2.60,-6.70,35.90,-5.80,31.05
Tanzania,79,1.50,6.00,3.00,8.90,4.20,38.30,-7.10,61.74
Lithuania,78,1.20,3.15,1.30,8.70,-0.70,37.30,1.90,2.89
Uruguay,77,0.60,8.75,5.49,7.20,-3.10,64.50,-4.70,3.44
Ghana,76,1.70,27.00,23.00,3.60,3.10,84.90,1.40,34.12
Serbia,75,0.50,5.75,4.30,8.10,-1.00,52.00,-2.60,6.61
Azerbaijan,72,,7.25,4.40,5.60,-0.70,21.90,16.30,10.13
Belarus,72,,9.50,5.50,0.10,-0.30,32.80,-1.40,9.16
Slovenia,68,0.30,3.15,1.90,4.60,-2.50,69.20,4.50,2.12
Congo,66,,25.00,16.36,46.10,-1.70,13.30,-6.30,95.02
Myanmar,65,,9.00,28.58,2.80,-5.20,62.50,-5.50,54.58
Turkmenistan,60,,,5.90,4.19,0.90,4.70,5.90,6.52
Jordan,51,,7.00,1.30,21.50,-5.30,89.20,-3.50,11.52
Libya,50,,3.00,2.40,18.50,8.50,83.00,23.30,6.89
Uganda,49,2.00,9.75,3.30,2.90,-4.35,48.60,-7.53,48.58
Tunisia,49,0.80,8.00,6.60,16.00,-7.10,79.40,-8.60,11.89
Cameroon,48,2.70,5.00,4.40,3.70,-0.90,41.90,-2.70,28.60
Macau,47,,4.75,0.30,1.70,,,11.40,0.68
Bolivia,46,14.04,3.33,9.51,2.80,-7.49,80.80,-2.70,12.01
Latvia,44,-0.20,3.15,2.20,6.70,-2.40,45.00,-3.90,1.87
Paraguay,43,-1.38,6.00,3.80,5.30,-4.00,41.20,0.30,7.55
Bahrain,43,3.10,5.25,0.40,5.50,-5.60,121.20,6.60,1.49
Estonia,41,0.00,3.15,3.70,7.40,-2.80,20.20,-2.10,1.37
Nepal,41,,6.50,5.60,10.70,-9.00,42.70,-1.50,30.90
Honduras,34,1.70,5.75,3.94,6.40,-3.60,44.95,-3.90,9.75
El Salvador,34,-0.20,5.72,-0.31,5.20,-2.24,84.68,-4.50,6.31
Cyprus,32,1.00,3.15,2.60,4.50,3.10,73.60,-9.50,0.93
Cambodia,32,,0.86,1.46,0.22,-3.44,35.30,-11.00,16.94
Georgia,31,,8.00,1.90,13.80,-2.40,39.80,-4.30,3.70
Iceland,31,-1.10,8.50,4.80,3.30,-2.00,64.80,1.10,0.40
Papua New Guinea,31,,4.00,0.12,2.70,-4.40,52.00,16.10,10.33
Senegal,31,8.90,5.50,-0.20,21.60,-6.10,56.10,-17.50,18.30
Trinidad and Tobago,28,-2.00,3.50,0.20,4.80,-1.73,56.10,11.30,1.37
Zambia,28,,14.00,16.70,6.10,-5.70,73.40,-1.10,19.70
Zimbabwe,27,,35.00,57.50,9.10,-0.10,92.60,1.30,15.18
Bosnia and Herzegovina,27,1.40,4.29,1.50,12.20,-1.20,17.10,-2.70,3.43
Armenia,24,,7.00,1.40,13.80,-2.30,48.10,-3.40,2.99
Guinea,24,,11.00,4.70,5.40,-1.60,42.40,15.95,13.62
Albania,23,2.80,2.75,2.00,10.70,-1.40,58.90,-0.90,2.76
Gabon,21,,5.00,3.40,20.40,-0.10,70.50,-0.80,2.44
Mozambique,21,2.00,12.75,2.84,25.04,-2.80,93.90,-11.80,32.42
Mali,21,,5.50,4.90,3.30,-5.00,,-6.60,23.29
Malta,21,0.40,3.15,2.10,3.10,-4.50,47.40,6.40,0.56
Yemen,21,,27.00,0.77,17.53,-5.20,66.40,-5.90,34.45
Mongolia,20,6.10,10.00,8.10,6.10,1.90,40.00,-10.90,3.50
Haiti,20,,17.00,25.30,14.90,0.66,28.50,-2.90,11.72
Benin,20,,5.50,0.60,1.40,-4.50,53.00,-6.00,13.32
Burkina Faso,20,,5.50,3.60,5.00,-6.90,61.20,-5.00,22.75
Botswana,19,-2.90,1.90,1.70,27.60,-2.60,22.00,0.90,2.68
Jamaica,19,-1.70,6.00,4.30,3.60,0.30,73.30,-3.20,2.83
